,Line,Speaker,Text,Date,sentences,words,start,end
0,1,Holt,"Good evening from Hofstra University in Hempstead, New York. I'm Lester Holt, anchor of ""NBC Nightly News."" I want to welcome you to the first presidential debate. The participants tonight are Donald Trump and Hillary Clinton. This debate is sponsored by the Commission on Presidential Debates, a nonpartisan, nonprofit organization. The commission drafted tonight's format, and the rules have been agreed to by the campaigns. The 90-minute debate is divided into six segments, each 15 minutes long. We'll explore three topic areas tonight: Achieving prosperity; America's direction; and securing America. At the start of each segment, I will ask the same lead-off question to both candidates, and they will each have up to two minutes to respond. From that point until the end of the segment, we'll have an open discussion. The questions are mine and have not been shared with the commission or the campaigns. The audience here in the room has agreed to remain silent so that we can focus on what the candidates are saying. I will invite you to applaud, however, at this moment, as we welcome the candidates: Democratic nominee for president of the United States, Hillary Clinton, and Republican nominee for president of the United States, Donald J. Trump.",2016-09-26,"['Good', 'evening', 'from', 'Hofstra', 'University', 'in', 'Hempstead', ',', 'New', 'York', '.', 'I', ""'m"", 'Lester', 'Holt', ',', 'anchor', 'of', '``', 'NBC', 'Nightly', 'News', '.', ""''"", 'I', 'want', 'to', 'welcome', 'you', 'to', 'the', 'first', 'presidential', 'debate', '.', 'The', 'participants', 'tonight', 'are', 'Donald', 'Trump', 'and', 'Hillary', 'Clinton', '.', 'This', 'debate', 'is', 'sponsored', 'by', 'the', 'Commission', 'on', 'Presidential', 'Debates', ',', 'a', 'nonpartisan', ',', 'nonprofit', 'organization', '.', 'The', 'commission', 'drafted', 'tonight', ""'s"", 'format', ',', 'and', 'the', 'rules', 'have', 'been', 'agreed', 'to', 'by', 'the', 'campaigns', '.', 'The', '90-minute', 'debate', 'is', 'divided', 'into', 'six', 'segments', ',', 'each', '15', 'minutes', 'long', '.', 'We', ""'ll"", 'explore', 'three', 'topic', 'areas', 'tonight', ':', 'Achieving', 'prosperity', ';', 'America', ""'s"", 'direction', ';', 'and', 'securing', 'America', '.', 'At', 'the', 'start', 'of', 'each', 'segment', ',', 'I', 'will', 'ask', 'the', 'same', 'lead-off', 'question', 'to', 'both', 'candidates', ',', 'and', 'they', 'will', 'each', 'have', 'up', 'to', 'two', 'minutes', 'to', 'respond', '.', 'From', 'that', 'point', 'until', 'the', 'end', 'of', 'the', 'segment', ',', 'we', ""'ll"", 'have', 'an', 'open', 'discussion', '.', 'The', 'questions', 'are', 'mine', 'and', 'have', 'not', 'been', 'shared', 'with', 'the', 'commission', 'or', 'the', 'campaigns', '.', 'The', 'audience', 'here', 'in', 'the', 'room', 'has', 'agreed', 'to', 'remain', 'silent', 'so', 'that', 'we', 'can', 'focus', 'on', 'what', 'the', 'candidates', 'are', 'saying', '.', 'I', 'will', 'invite', 'you', 'to', 'applaud', ',', 'however', ',', 'at', 'this', 'moment', ',', 'as', 'we', 'welcome', 'the', 'candidates', ':', 'Democratic', 'nominee', 'for', 'president', 'of', 'the', 'United', 'States', ',', 'Hillary', 'Clinton', ',', 'and', 'Republican', 'nominee', 'for', 'president', 'of', 'the', 'United', 'States', ',', 'Donald', 'J.', 'Trump', '.']","['Good', 'evening', 'from', 'Hofstra', 'University', 'in', 'Hempstead', ',', 'New', 'York', '.', 'I', ""'m"", 'Lester', 'Holt', ',', 'anchor', 'of', '``', 'NBC', 'Nightly', 'News', '.', ""''"", 'I', 'want', 'to', 'welcome', 'you', 'to', 'the', 'first', 'presidential', 'debate', '.', 'The', 'participants', 'tonight', 'are', 'Donald', 'Trump', 'and', 'Hillary', 'Clinton', '.', 'This', 'debate', 'is', 'sponsored', 'by', 'the', 'Commission', 'on', 'Presidential', 'Debates', ',', 'a', 'nonpartisan', ',', 'nonprofit', 'organization', '.', 'The', 'commission', 'drafted', 'tonight', ""'s"", 'format', ',', 'and', 'the', 'rules', 'have', 'been', 'agreed', 'to', 'by', 'the', 'campaigns', '.', 'The', '90-minute', 'debate', 'is', 'divided', 'into', 'six', 'segments', ',', 'each', '15', 'minutes', 'long', '.', 'We', ""'ll"", 'explore', 'three', 'topic', 'areas', 'tonight', ':', 'Achieving', 'prosperity', ';', 'America', ""'s"", 'direction', ';', 'and', 'securing', 'America', '.', 'At', 'the', 'start', 'of', 'each', 'segment', ',', 'I', 'will', 'ask', 'the', 'same', 'lead-off', 'question', 'to', 'both', 'candidates', ',', 'and', 'they', 'will', 'each', 'have', 'up', 'to', 'two', 'minutes', 'to', 'respond', '.', 'From', 'that', 'point', 'until', 'the', 'end', 'of', 'the', 'segment', ',', 'we', ""'ll"", 'have', 'an', 'open', 'discussion', '.', 'The', 'questions', 'are', 'mine', 'and', 'have', 'not', 'been', 'shared', 'with', 'the', 'commission', 'or', 'the', 'campaigns', '.', 'The', 'audience', 'here', 'in', 'the', 'room', 'has', 'agreed', 'to', 'remain', 'silent', 'so', 'that', 'we', 'can', 'focus', 'on', 'what', 'the', 'candidates', 'are', 'saying', '.', 'I', 'will', 'invite', 'you', 'to', 'applaud', ',', 'however', ',', 'at', 'this', 'moment', ',', 'as', 'we', 'welcome', 'the', 'candidates', ':', 'Democratic', 'nominee', 'for', 'president', 'of', 'the', 'United', 'States', ',', 'Hillary', 'Clinton', ',', 'and', 'Republican', 'nominee', 'for', 'president', 'of', 'the', 'United', 'States', ',', 'Donald', 'J.', 'Trump', '.']",1.0,123.0
1,2,Audience,(APPLAUSE),2016-09-26,"['(', 'APPLAUSE', ')']","['(', 'APPLAUSE', ')']",124.0,125.5
2,3,Clinton,"How are you, Donald?",2016-09-26,"['How', 'are', 'you', ',', 'Donald', '?']","['How', 'are', 'you', ',', 'Donald', '?']",126.5,129.5
3,4,Audience,(APPLAUSE),2016-09-26,"['(', 'APPLAUSE', ')']","['(', 'APPLAUSE', ')']",130.5,132.0
4,5,Holt,Good luck to you.,2016-09-26,"['Good', 'luck', 'to', 'you', '.']","['Good', 'luck', 'to', 'you', '.']",133.0,135.5
5,6,Audience,(APPLAUSE),2016-09-26,"['(', 'APPLAUSE', ')']","['(', 'APPLAUSE', ')']",136.5,138.0
6,7,Holt,"Well, I don't expect us to cover all the issues of this campaign tonight, but I remind everyone, there are two more presidential debates scheduled. We are going to focus on many of the issues that voters tell us are most important, and we're going to press for specifics. I am honored to have this role, but this evening belongs to the candidates and, just as important, to the American people. Candidates, we look forward to hearing you articulate your policies and your positions, as well as your visions and your values. So, let's begin. We're calling this opening segment ""Achieving Prosperity."" And central to that is jobs. There are two economic realities in America today. There's been a record six straight years of job growth, and new census numbers show incomes have increased at a record rate after years of stagnation. However, income inequality remains significant, and nearly half of Americans are living paycheck to paycheck. Beginning with you, Secretary Clinton, why are you a better choice than your opponent to create the kinds of jobs that will put more money into the pockets of American works?",2016-09-26,"['Well', ',', 'I', 'do', ""n't"", 'expect', 'us', 'to', 'cover', 'all', 'the', 'issues', 'of', 'this', 'campaign', 'tonight', ',', 'but', 'I', 'remind', 'everyone', ',', 'there', 'are', 'two', 'more', 'presidential', 'debates', 'scheduled', '.', 'We', 'are', 'going', 'to', 'focus', 'on', 'many', 'of', 'the', 'issues', 'that', 'voters', 'tell', 'us', 'are', 'most', 'important', ',', 'and', 'we', ""'re"", 'going', 'to', 'press', 'for', 'specifics', '.', 'I', 'am', 'honored', 'to', 'have', 'this', 'role', ',', 'but', 'this', 'evening', 'belongs', 'to', 'the', 'candidates', 'and', ',', 'just', 'as', 'important', ',', 'to', 'the', 'American', 'people', '.', 'Candidates', ',', 'we', 'look', 'forward', 'to', 'hearing', 'you', 'articulate', 'your', 'policies', 'and', 'your', 'positions', ',', 'as', 'well', 'as', 'your', 'visions', 'and', 'your', 'values', '.', 'So', ',', 'let', ""'s"", 'begin', '.', 'We', ""'re"", 'calling', 'this', 'opening', 'segment', '``', 'Achieving', 'Prosperity', '.', ""''"", 'And', 'central', 'to', 'that', 'is', 'jobs', '.', 'There', 'are', 'two', 'economic', 'realities', 'in', 'America', 'today', '.', 'There', ""'s"", 'been', 'a', 'record', 'six', 'straight', 'years', 'of', 'job', 'growth', ',', 'and', 'new', 'census', 'numbers', 'show', 'incomes', 'have', 'increased', 'at', 'a', 'record', 'rate', 'after', 'years', 'of', 'stagnation', '.', 'However', ',', 'income', 'inequality', 'remains', 'significant', ',', 'and', 'nearly', 'half', 'of', 'Americans', 'are', 'living', 'paycheck', 'to', 'paycheck', '.', 'Beginning', 'with', 'you', ',', 'Secretary', 'Clinton', ',', 'why', 'are', 'you', 'a', 'better', 'choice', 'than', 'your', 'opponent', 'to', 'create', 'the', 'kinds', 'of', 'jobs', 'that', 'will', 'put', 'more', 'money', 'into', 'the', 'pockets', 'of', 'American', 'works', '?']","['Well', ',', 'I', 'do', ""n't"", 'expect', 'us', 'to', 'cover', 'all', 'the', 'issues', 'of', 'this', 'campaign', 'tonight', ',', 'but', 'I', 'remind', 'everyone', ',', 'there', 'are', 'two', 'more', 'presidential', 'debates', 'scheduled', '.', 'We', 'are', 'going', 'to', 'focus', 'on', 'many', 'of', 'the', 'issues', 'that', 'voters', 'tell', 'us', 'are', 'most', 'important', ',', 'and', 'we', ""'re"", 'going', 'to', 'press', 'for', 'specifics', '.', 'I', 'am', 'honored', 'to', 'have', 'this', 'role', ',', 'but', 'this', 'evening', 'belongs', 'to', 'the', 'candidates', 'and', ',', 'just', 'as', 'important', ',', 'to', 'the', 'American', 'people', '.', 'Candidates', ',', 'we', 'look', 'forward', 'to', 'hearing', 'you', 'articulate', 'your', 'policies', 'and', 'your', 'positions', ',', 'as', 'well', 'as', 'your', 'visions', 'and', 'your', 'values', '.', 'So', ',', 'let', ""'s"", 'begin', '.', 'We', ""'re"", 'calling', 'this', 'opening', 'segment', '``', 'Achieving', 'Prosperity', '.', ""''"", 'And', 'central', 'to', 'that', 'is', 'jobs', '.', 'There', 'are', 'two', 'economic', 'realities', 'in', 'America', 'today', '.', 'There', ""'s"", 'been', 'a', 'record', 'six', 'straight', 'years', 'of', 'job', 'growth', ',', 'and', 'new', 'census', 'numbers', 'show', 'incomes', 'have', 'increased', 'at', 'a', 'record', 'rate', 'after', 'years', 'of', 'stagnation', '.', 'However', ',', 'income', 'inequality', 'remains', 'significant', ',', 'and', 'nearly', 'half', 'of', 'Americans', 'are', 'living', 'paycheck', 'to', 'paycheck', '.', 'Beginning', 'with', 'you', ',', 'Secretary', 'Clinton', ',', 'why', 'are', 'you', 'a', 'better', 'choice', 'than', 'your', 'opponent', 'to', 'create', 'the', 'kinds', 'of', 'jobs', 'that', 'will', 'put', 'more', 'money', 'into', 'the', 'pockets', 'of', 'American', 'works', '?']",139.0,249.5
7,8,Clinton,"Well, thank you, Lester, and thanks to Hofstra for hosting us. The central question in this election is really what kind of country we want to be and what kind of future we'll build together. Today is my granddaughter's second birthday, so I think about this a lot. First, we have to build an economy that works for everyone, not just those at the top. That means we need new jobs, good jobs, with rising incomes. I want us to invest in you. I want us to invest in your future. That means jobs in infrastructure, in advanced manufacturing, innovation and technology, clean, renewable energy, and small business, because most of the new jobs will come from small business. We also have to make the economy fairer. That starts with raising the national minimum wage and also guarantee, finally, equal pay for women's work.",2016-09-26,"['Well', ',', 'thank', 'you', ',', 'Lester', ',', 'and', 'thanks', 'to', 'Hofstra', 'for', 'hosting', 'us', '.', 'The', 'central', 'question', 'in', 'this', 'election', 'is', 'really', 'what', 'kind', 'of', 'country', 'we', 'want', 'to', 'be', 'and', 'what', 'kind', 'of', 'future', 'we', ""'ll"", 'build', 'together', '.', 'Today', 'is', 'my', 'granddaughter', ""'s"", 'second', 'birthday', ',', 'so', 'I', 'think', 'about', 'this', 'a', 'lot', '.', 'First', ',', 'we', 'have', 'to', 'build', 'an', 'economy', 'that', 'works', 'for', 'everyone', ',', 'not', 'just', 'those', 'at', 'the', 'top', '.', 'That', 'means', 'we', 'need', 'new', 'jobs', ',', 'good', 'jobs', ',', 'with', 'rising', 'incomes', '.', 'I', 'want', 'us', 'to', 'invest', 'in', 'you', '.', 'I', 'want', 'us', 'to', 'invest', 'in', 'your', 'future', '.', 'That', 'means', 'jobs', 'in', 'infrastructure', ',', 'in', 'advanced', 'manufacturing', ',', 'innovation', 'and', 'technology', ',', 'clean', ',', 'renewable', 'energy', ',', 'and', 'small', 'business', ',', 'because', 'most', 'of', 'the', 'new', 'jobs', 'will', 'come', 'from', 'small', 'business', '.', 'We', 'also', 'have', 'to', 'make', 'the', 'economy', 'fairer', '.', 'That', 'starts', 'with', 'raising', 'the', 'national', 'minimum', 'wage', 'and', 'also', 'guarantee', ',', 'finally', ',', 'equal', 'pay', 'for', 'women', ""'s"", 'work', '.']","['Well', ',', 'thank', 'you', ',', 'Lester', ',', 'and', 'thanks', 'to', 'Hofstra', 'for', 'hosting', 'us', '.', 'The', 'central', 'question', 'in', 'this', 'election', 'is', 'really', 'what', 'kind', 'of', 'country', 'we', 'want', 'to', 'be', 'and', 'what', 'kind', 'of', 'future', 'we', ""'ll"", 'build', 'together', '.', 'Today', 'is', 'my', 'granddaughter', ""'s"", 'second', 'birthday', ',', 'so', 'I', 'think', 'about', 'this', 'a', 'lot', '.', 'First', ',', 'we', 'have', 'to', 'build', 'an', 'economy', 'that', 'works', 'for', 'everyone', ',', 'not', 'just', 'those', 'at', 'the', 'top', '.', 'That', 'means', 'we', 'need', 'new', 'jobs', ',', 'good', 'jobs', ',', 'with', 'rising', 'incomes', '.', 'I', 'want', 'us', 'to', 'invest', 'in', 'you', '.', 'I', 'want', 'us', 'to', 'invest', 'in', 'your', 'future', '.', 'That', 'means', 'jobs', 'in', 'infrastructure', ',', 'in', 'advanced', 'manufacturing', ',', 'innovation', 'and', 'technology', ',', 'clean', ',', 'renewable', 'energy', ',', 'and', 'small', 'business', ',', 'because', 'most', 'of', 'the', 'new', 'jobs', 'will', 'come', 'from', 'small', 'business', '.', 'We', 'also', 'have', 'to', 'make', 'the', 'economy', 'fairer', '.', 'That', 'starts', 'with', 'raising', 'the', 'national', 'minimum', 'wage', 'and', 'also', 'guarantee', ',', 'finally', ',', 'equal', 'pay', 'for', 'women', ""'s"", 'work', '.']",250.5,337.0
8,9,Clinton,"I also want to see more companies do profit-sharing. If you help create the profits, you should be able to share in them, not just the executives at the top. And I want us to do more to support people who are struggling to balance family and work. I've heard from so many of you about the difficult choices you face and the stresses that you're under. So let's have paid family leave, earned sick days. Let's be sure we have affordable child care and debt-free college. How are we going to do it? We're going to do it by having the wealthy pay their fair share and close the corporate loopholes. Finally, we tonight are on the stage together, Donald Trump and I. Donald, it's good to be with you. We're going to have a debate where we are talking about the important issues facing our country. You have to judge us, who can shoulder the immense, awesome responsibilities of the presidency, who can put into action the plans that will make your life better. I hope that I will be able to earn your vote on November 8th.",2016-09-26,"['I', 'also', 'want', 'to', 'see', 'more', 'companies', 'do', 'profit-sharing', '.', 'If', 'you', 'help', 'create', 'the', 'profits', ',', 'you', 'should', 'be', 'able', 'to', 'share', 'in', 'them', ',', 'not', 'just', 'the', 'executives', 'at', 'the', 'top', '.', 'And', 'I', 'want', 'us', 'to', 'do', 'more', 'to', 'support', 'people', 'who', 'are', 'struggling', 'to', 'balance', 'family', 'and', 'work', '.', 'I', ""'ve"", 'heard', 'from', 'so', 'many', 'of', 'you', 'about', 'the', 'difficult', 'choices', 'you', 'face', 'and', 'the', 'stresses', 'that', 'you', ""'re"", 'under', '.', 'So', 'let', ""'s"", 'have', 'paid', 'family', 'leave', ',', 'earned', 'sick', 'days', '.', 'Let', ""'s"", 'be', 'sure', 'we', 'have', 'affordable', 'child', 'care', 'and', 'debt-free', 'college', '.', 'How', 'are', 'we', 'going', 'to', 'do', 'it', '?', 'We', ""'re"", 'going', 'to', 'do', 'it', 'by', 'having', 'the', 'wealthy', 'pay', 'their', 'fair', 'share', 'and', 'close', 'the', 'corporate', 'loopholes', '.', 'Finally', ',', 'we', 'tonight', 'are', 'on', 'the', 'stage', 'together', ',', 'Donald', 'Trump', 'and', 'I.', 'Donald', ',', 'it', ""'s"", 'good', 'to', 'be', 'with', 'you', '.', 'We', ""'re"", 'going', 'to', 'have', 'a', 'debate', 'where', 'we', 'are', 'talking', 'about', 'the', 'important', 'issues', 'facing', 'our', 'country', '.', 'You', 'have', 'to', 'judge', 'us', ',', 'who', 'can', 'shoulder', 'the', 'immense', ',', 'awesome', 'responsibilities', 'of', 'the', 'presidency', ',', 'who', 'can', 'put', 'into', 'action', 'the', 'plans', 'that', 'will', 'make', 'your', 'life', 'better', '.', 'I', 'hope', 'that', 'I', 'will', 'be', 'able', 'to', 'earn', 'your', 'vote', 'on', 'November', '8th', '.']","['I', 'also', 'want', 'to', 'see', 'more', 'companies', 'do', 'profit-sharing', '.', 'If', 'you', 'help', 'create', 'the', 'profits', ',', 'you', 'should', 'be', 'able', 'to', 'share', 'in', 'them', ',', 'not', 'just', 'the', 'executives', 'at', 'the', 'top', '.', 'And', 'I', 'want', 'us', 'to', 'do', 'more', 'to', 'support', 'people', 'who', 'are', 'struggling', 'to', 'balance', 'family', 'and', 'work', '.', 'I', ""'ve"", 'heard', 'from', 'so', 'many', 'of', 'you', 'about', 'the', 'difficult', 'choices', 'you', 'face', 'and', 'the', 'stresses', 'that', 'you', ""'re"", 'under', '.', 'So', 'let', ""'s"", 'have', 'paid', 'family', 'leave', ',', 'earned', 'sick', 'days', '.', 'Let', ""'s"", 'be', 'sure', 'we', 'have', 'affordable', 'child', 'care', 'and', 'debt-free', 'college', '.', 'How', 'are', 'we', 'going', 'to', 'do', 'it', '?', 'We', ""'re"", 'going', 'to', 'do', 'it', 'by', 'having', 'the', 'wealthy', 'pay', 'their', 'fair', 'share', 'and', 'close', 'the', 'corporate', 'loopholes', '.', 'Finally', ',', 'we', 'tonight', 'are', 'on', 'the', 'stage', 'together', ',', 'Donald', 'Trump', 'and', 'I.', 'Donald', ',', 'it', ""'s"", 'good', 'to', 'be', 'with', 'you', '.', 'We', ""'re"", 'going', 'to', 'have', 'a', 'debate', 'where', 'we', 'are', 'talking', 'about', 'the', 'important', 'issues', 'facing', 'our', 'country', '.', 'You', 'have', 'to', 'judge', 'us', ',', 'who', 'can', 'shoulder', 'the', 'immense', ',', 'awesome', 'responsibilities', 'of', 'the', 'presidency', ',', 'who', 'can', 'put', 'into', 'action', 'the', 'plans', 'that', 'will', 'make', 'your', 'life', 'better', '.', 'I', 'hope', 'that', 'I', 'will', 'be', 'able', 'to', 'earn', 'your', 'vote', 'on', 'November', '8th', '.']",338.0,447.0
9,10,Holt,"Secretary Clinton, thank you. Mr. Trump, the same question to you. It's about putting money -- more money into the pockets of American workers. You have up to two minutes.",2016-09-26,"['Secretary', 'Clinton', ',', 'thank', 'you', '.', 'Mr.', 'Trump', ',', 'the', 'same', 'question', 'to', 'you', '.', 'It', ""'s"", 'about', 'putting', 'money', '--', 'more', 'money', 'into', 'the', 'pockets', 'of', 'American', 'workers', '.', 'You', 'have', 'up', 'to', 'two', 'minutes', '.']","['Secretary', 'Clinton', ',', 'thank', 'you', '.', 'Mr.', 'Trump', ',', 'the', 'same', 'question', 'to', 'you', '.', 'It', ""'s"", 'about', 'putting', 'money', '--', 'more', 'money', 'into', 'the', 'pockets', 'of', 'American', 'workers', '.', 'You', 'have', 'up', 'to', 'two', 'minutes', '.']",448.0,466.5
